sym,open,high,low,close,volume,date,time
bitcoin,33286,34064.25,32531,33426.47,11811.35595,2021/1/12,14:00:00
bitcoin,33416.47,34285.71,33406.88,33829.4,6681.453942,2021/1/12,15:00:00
bitcoin,33829.4,35000,33819.11,34998.9,5939.785493,2021/1/12,16:00:00
bitcoin,34998.91,35289.67,34560,35012.53,5686.970759,2021/1/12,17:00:00
bitcoin,35012.54,35550,34810.01,35040.78,4048.613144,2021/1/12,18:00:00
bitcoin,35040.78,35040.79,34178.89,34685.11,3815.680014,2021/1/12,19:00:00
bitcoin,34686.1,34702.22,33730,34287.95,5034.976316,2021/1/12,20:00:00
bitcoin,34287.95,34877.28,33801.04,34719.03,4053.704056,2021/1/12,21:00:00
bitcoin,34721.74,35051.02,33297.82,33743.18,3949.373911,2021/1/12,22:00:00
bitcoin,33751.7,34138.84,33260.74,34051.24,6381.931992,2021/1/12,23:00:00
bitcoin,34049.15,34049.15,32380,32526.5,9275.279349,2021/1/13,0:00:00
bitcoin,32526.93,33450,32487.11,33124.06,6231.717545,2021/1/13,1:00:00
bitcoin,33125.3,33551.55,32566.55,33035.21,5457.275371,2021/1/13,2:00:00
bitcoin,33035.21,34375.51,32981.94,33818.5,6460.71206,2021/1/13,3:00:00
bitcoin,33818.5,33910,33090.9,33183.88,3956.30306,2021/1/13,4:00:00
bitcoin,33183.89,33521.96,32800,33321.75,3402.317536,2021/1/13,5:00:00
bitcoin,33321.76,34212.87,33212.12,33780.68,4919.322558,2021/1/13,6:00:00
bitcoin,33780.68,35180.67,33550,34986.9,6468.36582,2021/1/13,7:00:00
bitcoin,34986.9,35063.59,34438.95,34519.19,5729.476229,2021/1/13,8:00:00
bitcoin,34517.44,35107.47,34200,34343.62,4738.542551,2021/1/13,9:00:00
bitcoin,34343.62,35066.64,34343.61,34923,4760.852936,2021/1/13,10:00:00
bitcoin,34922.99,35250,34242.15,34385.48,5982.919994,2021/1/13,11:00:00
bitcoin,34385.48,34512,34017,34266.52,3585.06836,2021/1/13,12:00:00
bitcoin,34266.52,34787.24,34070,34575.5,3664.908752,2021/1/13,13:00:00
bitcoin,34575.51,35100,34216,34260.7,5193.523431,2021/1/13,14:00:00
bitcoin,34260.7,34850,34200,34673.9,3658.847423,2021/1/13,15:00:00
bitcoin,34673.9,34930,34388.53,34783.14,2872.011202,2021/1/13,16:00:00
bitcoin,34784.98,35000,34652.06,34821.48,2913.41367,2021/1/13,17:00:00
bitcoin,34821.47,35901,34720,35719.36,6649.557746,2021/1/13,18:00:00
bitcoin,35719.36,36188,35577.55,36002.25,5312.218932,2021/1/13,19:00:00
bitcoin,36002.24,36450.01,35704.21,36222.07,5750.014467,2021/1/13,20:00:00
bitcoin,36222.07,37427,36110.76,37299.49,7450.104667,2021/1/13,21:00:00
bitcoin,37291.25,37850,36827.02,37203.87,6042.033075,2021/1/13,22:00:00
bitcoin,37204.09,37584.73,37000,37371.38,4003.128204,2021/1/13,23:00:00
bitcoin,37371.38,38172.22,37362.49,37762.76,5781.272257,2021/1/14,0:00:00
bitcoin,37766,37786.62,37363,37451.13,3460.038729,2021/1/14,1:00:00
bitcoin,37451.13,37729.62,37071,37439.51,4089.949019,2021/1/14,2:00:00
bitcoin,37440.92,37505,37000,37045.13,2807.213786,2021/1/14,3:00:00
bitcoin,37045.13,37513.58,36701.23,37504,3609.739475,2021/1/14,4:00:00
bitcoin,37503.99,37800,37299.74,37529.11,3154.225655,2021/1/14,5:00:00
bitcoin,37529.11,38100,37440,37837.21,3705.587755,2021/1/14,6:00:00
bitcoin,37837.2,38596.92,37703.09,38198.34,5294.802195,2021/1/14,7:00:00
bitcoin,38199.52,38786.1,38192.64,38370.01,3936.809626,2021/1/14,8:00:00
